network,station,Startdate,Enddate,latitude,longitude,elevation,sample_frequency,duration_info,URL1,URL2,URL3
AF,DESE,2006-07-27,2599-12-31,11.118,39.635,2538.0,20,perm,http://folk.uib.no/hif002/glimer-figs/AF_DESE_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_DESE_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_DESE_3.jpg
AF,DODT,2007-02-11,2599-12-31,-6.186,35.748,1114.0,40,perm,http://folk.uib.no/hif002/glimer-figs/AF_DODT_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_DODT_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_DODT_3.jpg
AF,EKNA,2007-01-23,2599-12-31,4.234,9.328,354.0,25,perm,http://folk.uib.no/hif002/glimer-figs/AF_EKNA_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_EKNA_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_EKNA_3.jpg
AF,GETA,2011-08-02,2599-12-31,-2.866,33.241,1267.0,40,perm,http://folk.uib.no/hif002/glimer-figs/AF_GETA_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_GETA_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_GETA_3.jpg
AF,GRM,2006-05-10,2599-12-31,-33.313,26.508,610.0,20,perm,http://folk.uib.no/hif002/glimer-figs/AF_GRM_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_GRM_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_GRM_3.jpg
AF,HARE,2006-01-07,2010-12-31,-17.704,31.009,1501.0,20,perm,http://folk.uib.no/hif002/glimer-figs/AF_HARE_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_HARE_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_HARE_3.jpg
AF,HVD,2006-04-26,2599-12-31,-30.605,25.497,1433.0,20,perm,http://folk.uib.no/hif002/glimer-figs/AF_HVD_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_HVD_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_HVD_3.jpg
AF,IFE,2008-09-26,2599-12-31,7.546667,4.45692,283.8,100,perm,http://folk.uib.no/hif002/glimer-figs/AF_IFE_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_IFE_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_IFE_3.jpg
AF,KIG,2008-10-12,2599-12-31,-1.96339,30.06332,1545.0,20,perm,http://folk.uib.no/hif002/glimer-figs/AF_KIG_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_KIG_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_KIG_3.jpg
AF,KTWE,2006-01-07,2599-12-31,-12.814,28.209,1227.6,20,perm,http://folk.uib.no/hif002/glimer-figs/AF_KTWE_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_KTWE_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_KTWE_3.jpg
AF,KUKU,2009-07-02,2599-12-31,6.19232,-0.36842,212.4,40,perm,http://folk.uib.no/hif002/glimer-figs/AF_KUKU_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_KUKU_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_KUKU_3.jpg
AF,LBB,2008-01-16,2599-12-31,-11.631,27.485,1283.0,40,perm,http://folk.uib.no/hif002/glimer-figs/AF_LBB_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_LBB_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_LBB_3.jpg
AF,MBEY,2007-01-30,2599-12-31,-9,33.25,1371,40,perm,http://folk.uib.no/hif002/glimer-figs/AF_MBEY_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_MBEY_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_MBEY_3.jpg
AF,MONG,2010-08-25,2599-12-31,-15.15,23.09,1046,40,perm,http://folk.uib.no/hif002/glimer-figs/AF_MONG_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_MONG_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_MONG_3.jpg
